database,dataset_size,indexing,operation,trial_no,execution_time_ms,timestamp
mysql,50000,no_index,create,6,2.3221,2026-05-09T21:04:46
mysql,50000,no_index,create,7,2.0532,2026-05-09T21:04:46
mysql,50000,no_index,create,8,1.8267,2026-05-09T21:04:46
mysql,50000,no_index,create,9,2.2587,2026-05-09T21:04:46
mysql,50000,no_index,create,10,2.6619,2026-05-09T21:04:46
mysql,50000,no_index,read,1,41.3627,2026-05-09T21:04:46
mysql,50000,no_index,read,2,38.8531,2026-05-09T21:04:46
mysql,50000,no_index,read,3,41.5470,2026-05-09T21:04:46
mysql,50000,no_index,read,4,38.8427,2026-05-09T21:04:46
mysql,50000,no_index,read,5,38.8157,2026-05-09T21:04:46
mysql,50000,no_index,read,6,40.1559,2026-05-09T21:04:46
mysql,50000,no_index,read,7,48.2543,2026-05-09T21:04:46
mysql,50000,no_index,read,8,52.5211,2026-05-09T21:04:46
mysql,50000,no_index,read,9,38.9380,2026-05-09T21:04:46
mysql,50000,no_index,read,10,39.3820,2026-05-09T21:04:46
mysql,50000,no_index,update,1,92.5714,2026-05-09T21:04:47
mysql,50000,no_index,update,2,84.8015,2026-05-09T21:04:47
mysql,50000,no_index,update,3,82.7846,2026-05-09T21:04:47
mysql,50000,no_index,update,4,83.0854,2026-05-09T21:04:47
mysql,50000,no_index,update,5,82.7907,2026-05-09T21:04:47
mysql,50000,no_index,update,6,83.7728,2026-05-09T21:04:47
mysql,50000,no_index,update,7,87.1605,2026-05-09T21:04:47
mysql,50000,no_index,update,8,83.2314,2026-05-09T21:04:47
mysql,50000,no_index,update,9,84.5595,2026-05-09T21:04:47
mysql,50000,no_index,update,10,86.3479,2026-05-09T21:04:47
mysql,50000,no_index,delete,1,83.9106,2026-05-09T21:04:48
mysql,50000,no_index,delete,2,84.3852,2026-05-09T21:04:48
mysql,50000,no_index,delete,3,94.7178,2026-05-09T21:04:48
mysql,50000,no_index,delete,4,91.8123,2026-05-09T21:04:48
mysql,50000,no_index,delete,5,81.9548,2026-05-09T21:04:48
mysql,50000,no_index,delete,6,82.6875,2026-05-09T21:04:48
mysql,50000,no_index,delete,7,82.4770,2026-05-09T21:04:48
mysql,50000,no_index,delete,8,82.7303,2026-05-09T21:04:48
mysql,50000,no_index,delete,9,86.9778,2026-05-09T21:04:48
mysql,50000,no_index,delete,10,81.9360,2026-05-09T21:04:48
mysql,100000,indexed,create,1,2.2454,2026-05-09T21:05:33
mysql,100000,indexed,create,2,2.3006,2026-05-09T21:05:33
mysql,100000,indexed,create,3,2.1913,2026-05-09T21:05:33
mysql,100000,indexed,create,4,2.3970,2026-05-09T21:05:33
mysql,100000,indexed,create,5,2.3913,2026-05-09T21:05:33
mysql,100000,indexed,create,6,2.2276,2026-05-09T21:05:33
mysql,100000,indexed,create,7,2.1056,2026-05-09T21:05:33
mysql,100000,indexed,create,8,2.2607,2026-05-09T21:05:33
mysql,100000,indexed,create,9,2.3156,2026-05-09T21:05:33
mysql,100000,indexed,create,10,2.2538,2026-05-09T21:05:33
mysql,100000,indexed,read,1,0.8826,2026-05-09T21:05:33
mysql,100000,indexed,read,2,0.8892,2026-05-09T21:05:33
mysql,100000,indexed,read,3,0.8577,2026-05-09T21:05:33
mysql,100000,indexed,read,4,0.7966,2026-05-09T21:05:33
mysql,100000,indexed,read,5,0.7633,2026-05-09T21:05:33
mysql,100000,indexed,read,6,0.7852,2026-05-09T21:05:33
mysql,100000,indexed,read,7,0.7588,2026-05-09T21:05:33
mysql,100000,indexed,read,8,0.7958,2026-05-09T21:05:33
mysql,100000,indexed,read,9,0.8435,2026-05-09T21:05:33
mysql,100000,indexed,read,10,0.7972,2026-05-09T21:05:33
mysql,100000,indexed,update,1,0.7829,2026-05-09T21:05:33
mysql,100000,indexed,update,2,2.3072,2026-05-09T21:05:33
mysql,100000,indexed,update,3,2.2206,2026-05-09T21:05:33
mysql,100000,indexed,update,4,2.4054,2026-05-09T21:05:33
